date,pm25,temperature_2m,relative_humidity_2m,surface_pressure,windspeed_10m,winddirection_10m,aqi_category
2024-05-13,23.7,29.575,74.20833333333333,987.7916666666666,6.0,297.02327861522866,Good
2024-05-14,22.3,30.416666666666668,65.33333333333333,988.2708333333334,4.929166666666666,69.95202444192302,Good
2024-05-15,30.1,30.829166666666666,65.29166666666667,988.5375,7.208333333333333,313.06058799291594,Moderate
2024-05-16,28.2,29.5125,74.375,988.5791666666668,5.979166666666667,98.39579976066484,Moderate
2024-05-17,28.7,28.9875,76.33333333333333,987.9083333333332,5.566666666666666,61.84347656932931,Moderate
2024-05-18,32.3,29.429166666666664,75.45833333333333,985.9083333333332,7.416666666666667,204.47855348362143,Moderate
2024-05-19,23.4,29.1875,76.33333333333333,984.4,9.3375,226.22058899966248,Good
2024-05-20,17.9,30.066666666666663,72.20833333333333,984.1208333333334,7.15,222.32612086114185,Good
2024-05-21,16.0,27.55,82.45833333333333,986.0291666666668,6.5,183.1847911716875,Good
2024-05-22,15.5,27.245833333333334,86.66666666666667,986.3416666666668,3.970833333333333,3.9373434651669195,Good
2024-05-23,15.8,27.7125,84.29166666666667,986.1208333333334,3.7916666666666665,201.1702803393437,Good
2024-05-24,13.7,27.820833333333336,83.83333333333333,986.2916666666666,6.845833333333334,155.2828775563089,Very Good
2024-05-25,13.4,29.27083333333333,73.875,986.6916666666666,5.133333333333334,201.9637705189634,Very Good
2024-05-26,14.8,29.329166666666666,73.5,987.3416666666668,5.408333333333332,232.95040986860096,Very Good
2024-05-27,15.5,30.1375,68.25,985.8916666666668,9.233333333333333,239.24380469373182,Good
2024-05-28,16.8,30.166666666666668,64.66666666666667,985.7208333333332,11.9375,258.25591691798206,Good
2024-05-29,16.4,30.85833333333333,63.41666666666666,985.15,12.691666666666668,250.91485929327484,Good
2024-05-30,17.0,30.60833333333333,64.375,984.6666666666666,14.870833333333332,250.06075533673584,Good
2024-05-31,15.2,29.8375,70.33333333333333,984.9541666666668,11.216666666666669,232.15118624213233,Good
2024-06-01,14.8,28.4,75.75,987.8875,11.275,203.59338957617913,Very Good
2024-06-02,13.4,30.241666666666664,66.20833333333333,988.9125,11.8875,239.6752475637419,Very Good
2024-06-03,16.8,30.29583333333333,62.0,987.85,12.895833333333334,246.51278467355303,Good
2024-06-04,16.4,31.0,58.208333333333336,986.6166666666668,14.2,253.45587300851008,Good
2024-06-05,16.8,30.96666666666667,60.708333333333336,987.0583333333334,14.204166666666666,235.45715251484273,Good
2024-06-06,16.0,31.570833333333336,55.75,987.7333333333332,10.058333333333334,243.97078534858923,Good
2024-06-07,16.9,30.52083333333333,63.0,986.4333333333334,11.804166666666667,230.90388640046478,Good
2024-06-08,16.9,31.375,57.16666666666666,984.4541666666668,14.379166666666668,238.7018002450522,Good
2024-06-09,18.0,31.079166666666666,57.958333333333336,983.9166666666666,12.7125,232.83545163118805,Good
2024-06-10,15.5,29.8,66.20833333333333,985.4375,12.945833333333333,202.05118161360025,Good
2024-06-11,14.0,29.391666666666666,69.04166666666667,987.1333333333332,12.954166666666666,205.58840151167888,Very Good
2024-06-12,15.2,30.491666666666664,61.91666666666666,988.3291666666668,12.979166666666666,238.7167900359368,Good
2024-06-13,17.2,31.55,56.5,987.2833333333332,14.229166666666666,250.68521951994012,Good
2024-06-14,18.5,32.34166666666666,53.66666666666666,985.3208333333332,13.75,254.66764393136467,Good
2024-06-15,17.0,32.920833333333334,51.25,984.55,11.308333333333332,263.33628547168195,Good
2024-06-16,18.2,32.95,51.25,985.3,10.629166666666666,246.89917432366667,Good
2024-06-17,16.7,31.40416666666667,59.958333333333336,985.7666666666668,11.779166666666669,235.36322459641428,Good
2024-06-18,17.2,31.27083333333333,59.083333333333336,985.175,13.275,254.0393635951669,Good
2024-06-19,18.3,31.60833333333333,55.583333333333336,984.45,12.2125,256.3011437742584,Good
2024-06-20,18.1,31.379166666666663,58.375,984.0875,12.433333333333332,256.58480711345646,Good
2024-06-21,15.7,30.7625,61.29166666666666,983.2958333333332,11.391666666666666,251.85905375567154,Good
2024-06-22,15.9,28.758333333333336,75.16666666666667,983.2166666666668,8.424999999999999,228.93589565627957,Good
2024-06-23,15.4,28.05,78.70833333333333,983.8375,8.295833333333333,220.39688429618613,Good
2024-06-24,15.2,28.48333333333333,72.5,983.9416666666666,9.325,224.48771649641148,Good
2024-06-25,15.5,28.6625,71.58333333333333,983.875,11.425,206.94206540008688,Good
2024-06-26,13.0,27.204166666666666,79.875,985.9625,6.529166666666666,182.76740155860927,Very Good
2024-06-27,14.6,28.28333333333333,76.16666666666667,987.6541666666668,5.295833333333333,202.0861782913881,Very Good
2024-06-28,17.4,28.004166666666663,81.375,987.1083333333332,6.3500000000000005,209.49731302576114,Good
